epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.166,1.56902,1.0692,1.19356,0.89548,0.80067,0.87197,0.57164,1.18611,0.68782,1.01646,0.00333017,0.00333017,0.00333017
2,579.683,1.40476,0.74596,1.08163,0.89228,0.75819,0.84436,0.56052,1.1907,0.74763,1.04863,0.00656926,0.00656926,0.00656926
3,867.541,1.45889,0.79949,1.10138,0.80189,0.74951,0.80556,0.51873,1.24907,0.98954,1.08106,0.00971407,0.00971407,0.00971407
4,1154.76,1.44427,0.7845,1.10126,0.89727,0.79581,0.86766,0.5853,1.15745,0.70917,1.04474,0.00957571,0.00957571,0.00957571
5,1441.55,1.3738,0.72338,1.07828,0.92015,0.80863,0.88501,0.60864,1.12112,0.64789,1.03461,0.00943429,0.00943429,0.00943429
6,1729.85,1.33889,0.68752,1.06465,0.91326,0.86886,0.91151,0.63294,1.08196,0.59997,1.0165,0.00929286,0.00929286,0.00929286
7,2017.16,1.31174,0.66284,1.05545,0.93969,0.87392,0.92305,0.66534,1.01813,0.5472,0.99288,0.00915143,0.00915143,0.00915143
8,2303.67,1.288,0.64573,1.04635,0.95868,0.87662,0.93069,0.67483,0.99606,0.52662,0.98268,0.00901,0.00901,0.00901
9,2590.99,1.27309,0.63153,1.04232,0.94905,0.88334,0.93525,0.68748,0.9741,0.5121,0.97586,0.00886857,0.00886857,0.00886857
10,2878.46,1.25513,0.61997,1.03721,0.95649,0.8853,0.93784,0.69058,0.96692,0.49935,0.9751,0.00872714,0.00872714,0.00872714
11,3165.95,1.24567,0.61087,1.0346,0.94559,0.90299,0.9389,0.69933,0.95325,0.49144,0.96637,0.00858571,0.00858571,0.00858571
12,3452.89,1.23253,0.60242,1.03068,0.94769,0.90401,0.93887,0.70419,0.94405,0.48203,0.96543,0.00844429,0.00844429,0.00844429
13,3740.23,1.21789,0.5939,1.0234,0.9443,0.90093,0.94115,0.7077,0.93377,0.47977,0.96034,0.00830286,0.00830286,0.00830286
14,4028.03,1.21112,0.58751,1.02264,0.94732,0.90548,0.94387,0.71374,0.9275,0.46989,0.95744,0.00816143,0.00816143,0.00816143
15,4315.36,1.19953,0.58135,1.01994,0.94664,0.90686,0.94638,0.7171,0.92333,0.46307,0.95706,0.00802,0.00802,0.00802
16,4602.54,1.1985,0.578,1.01874,0.94289,0.91006,0.94599,0.71762,0.92086,0.46167,0.95512,0.00787857,0.00787857,0.00787857
17,4889.67,1.18966,0.57276,1.01574,0.94098,0.91378,0.94551,0.7184,0.91836,0.4599,0.95422,0.00773714,0.00773714,0.00773714
18,5177.95,1.18356,0.56907,1.01382,0.94338,0.91193,0.94621,0.72016,0.91673,0.45664,0.95381,0.00759571,0.00759571,0.00759571
19,5467.07,1.1816,0.56522,1.01257,0.94608,0.9124,0.9477,0.71937,0.91422,0.45455,0.95263,0.00745429,0.00745429,0.00745429
20,5754.37,1.17282,0.56064,1.0096,0.95099,0.90778,0.94825,0.72215,0.91195,0.45281,0.95161,0.00731286,0.00731286,0.00731286
21,6042.55,1.1644,0.55646,1.00658,0.94908,0.90767,0.94875,0.72378,0.9099,0.45221,0.9505,0.00717143,0.00717143,0.00717143
22,6329.99,1.16495,0.55493,1.00553,0.95179,0.90441,0.94912,0.72439,0.90787,0.45062,0.94976,0.00703,0.00703,0.00703
23,6618.37,1.16222,0.55344,1.00501,0.9547,0.90411,0.95021,0.72548,0.90592,0.44874,0.94914,0.00688857,0.00688857,0.00688857
24,6905.15,1.15214,0.54791,1.0025,0.94306,0.91235,0.95044,0.72715,0.90382,0.44714,0.94845,0.00674714,0.00674714,0.00674714
25,7192.21,1.14941,0.54481,1.00065,0.94644,0.91181,0.95077,0.72934,0.90192,0.44621,0.94772,0.00660571,0.00660571,0.00660571
26,7479,1.14184,0.54094,1.00093,0.95162,0.9085,0.95122,0.73023,0.90006,0.44422,0.94714,0.00646429,0.00646429,0.00646429
27,7766.85,1.14079,0.54078,0.99947,0.95411,0.90805,0.95175,0.73248,0.89812,0.44223,0.94627,0.00632286,0.00632286,0.00632286
28,8054.6,1.13518,0.53521,0.99645,0.95246,0.91123,0.95241,0.73333,0.89617,0.44057,0.94546,0.00618143,0.00618143,0.00618143
29,8342.06,1.13175,0.5325,0.99469,0.95618,0.90946,0.95317,0.73443,0.89481,0.43842,0.94493,0.00604,0.00604,0.00604
30,8629.18,1.12717,0.53243,0.99447,0.9548,0.91118,0.95357,0.73629,0.89335,0.43691,0.94445,0.00589857,0.00589857,0.00589857
31,8917.2,1.12218,0.52849,0.99061,0.95652,0.91294,0.95411,0.73767,0.89126,0.4352,0.94386,0.00575714,0.00575714,0.00575714
32,9204.37,1.12026,0.52662,0.99047,0.95439,0.91503,0.95438,0.73849,0.88977,0.43387,0.94311,0.00561571,0.00561571,0.00561571
33,9495.34,1.11376,0.5225,0.98907,0.95709,0.91413,0.95428,0.7388,0.88777,0.43215,0.9424,0.00547429,0.00547429,0.00547429
34,9782.26,1.11036,0.52224,0.98854,0.95771,0.91368,0.95456,0.73989,0.88641,0.43054,0.94176,0.00533286,0.00533286,0.00533286
35,10069.9,1.1097,0.51993,0.98658,0.95774,0.91292,0.95445,0.74141,0.88477,0.42919,0.94092,0.00519143,0.00519143,0.00519143
36,10357.3,1.10434,0.51675,0.98503,0.9617,0.9106,0.9549,0.74156,0.88315,0.42808,0.94013,0.00505,0.00505,0.00505
37,10644.5,1.09922,0.51316,0.98275,0.96131,0.91079,0.95575,0.74187,0.8807,0.42695,0.93924,0.00490857,0.00490857,0.00490857
38,10932.1,1.09559,0.50926,0.98169,0.95977,0.91294,0.95532,0.74303,0.87921,0.42589,0.93888,0.00476714,0.00476714,0.00476714
39,11219.1,1.09278,0.50894,0.98258,0.95781,0.91569,0.95532,0.74334,0.87744,0.42493,0.93811,0.00462571,0.00462571,0.00462571
40,11506.7,1.08989,0.50567,0.98138,0.95658,0.91748,0.95645,0.74383,0.8767,0.42423,0.93799,0.00448429,0.00448429,0.00448429
41,11794.5,1.08383,0.50237,0.97889,0.9584,0.91767,0.9561,0.7454,0.87588,0.42301,0.93751,0.00434286,0.00434286,0.00434286
42,12082.9,1.07962,0.50158,0.97612,0.95876,0.91854,0.95682,0.7463,0.87456,0.42157,0.93729,0.00420143,0.00420143,0.00420143
43,12370.1,1.07269,0.49838,0.97584,0.96036,0.91743,0.95705,0.74613,0.87362,0.42047,0.93691,0.00406,0.00406,0.00406
44,12656.7,1.06831,0.49594,0.97392,0.96147,0.91682,0.95593,0.74669,0.87232,0.41926,0.93646,0.00391857,0.00391857,0.00391857
45,12946.6,1.06118,0.49164,0.97259,0.96681,0.91349,0.95678,0.74806,0.87149,0.41779,0.93578,0.00377714,0.00377714,0.00377714
46,13233.9,1.05436,0.48916,0.96973,0.96884,0.91431,0.95703,0.74842,0.87054,0.41666,0.93506,0.00363571,0.00363571,0.00363571
47,13521.4,1.04919,0.4866,0.96824,0.96749,0.91677,0.95759,0.75008,0.86954,0.41568,0.93465,0.00349429,0.00349429,0.00349429
48,13808.9,1.04835,0.48455,0.96844,0.96885,0.91604,0.95748,0.75045,0.86848,0.41411,0.9342,0.00335286,0.00335286,0.00335286
49,14096.4,1.03868,0.4809,0.96429,0.96696,0.91748,0.95787,0.75141,0.8674,0.41249,0.93393,0.00321143,0.00321143,0.00321143
50,14382.1,1.0332,0.47766,0.96516,0.96715,0.91527,0.9582,0.75105,0.86642,0.41119,0.93366,0.00307,0.00307,0.00307
51,14668.3,1.02815,0.47445,0.96237,0.96896,0.91499,0.9585,0.75194,0.86528,0.40997,0.93315,0.00292857,0.00292857,0.00292857
52,14955,1.0249,0.47338,0.95988,0.96929,0.91352,0.95863,0.75172,0.86438,0.40857,0.93263,0.00278714,0.00278714,0.00278714
53,15241.9,1.0207,0.47003,0.95987,0.96748,0.91478,0.95909,0.75314,0.86366,0.40756,0.9324,0.00264571,0.00264571,0.00264571
54,15528.5,1.01572,0.46702,0.95773,0.96677,0.91507,0.95916,0.75263,0.8631,0.40652,0.93226,0.00250429,0.00250429,0.00250429
55,15815.2,1.00982,0.463,0.95682,0.9678,0.91431,0.95951,0.75402,0.8621,0.40506,0.93184,0.00236286,0.00236286,0.00236286
56,16103.1,1.00314,0.45965,0.95411,0.95475,0.92767,0.9593,0.7541,0.86132,0.40445,0.93137,0.00222143,0.00222143,0.00222143
57,16389.5,1.00111,0.45772,0.9541,0.95642,0.92846,0.95901,0.75449,0.86077,0.4031,0.93138,0.00208,0.00208,0.00208
58,16675.3,0.99266,0.45352,0.95191,0.95644,0.92996,0.95976,0.75578,0.86054,0.40209,0.93139,0.00193857,0.00193857,0.00193857
59,16960.8,0.98769,0.45087,0.95094,0.9572,0.92969,0.95963,0.75525,0.85976,0.40123,0.93082,0.00179714,0.00179714,0.00179714
60,17246.5,0.98853,0.45002,0.95069,0.95753,0.92973,0.95934,0.75613,0.85877,0.39985,0.93054,0.00165571,0.00165571,0.00165571
61,17532.3,0.98661,0.42007,0.95842,0.95636,0.93147,0.9596,0.75767,0.85822,0.39901,0.9304,0.00151429,0.00151429,0.00151429
62,17813.9,0.97483,0.41601,0.95245,0.95743,0.93119,0.95934,0.75821,0.85781,0.39831,0.93006,0.00137286,0.00137286,0.00137286
63,18095.8,0.96436,0.41078,0.95028,0.96007,0.93093,0.95958,0.76021,0.85741,0.39817,0.93006,0.00123143,0.00123143,0.00123143
64,18379.2,0.95471,0.40585,0.94721,0.95902,0.92917,0.95964,0.76015,0.85666,0.39685,0.92975,0.00109,0.00109,0.00109
