epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.932,1.48525,0.95229,1.163,0.927,0.83932,0.9035,0.64536,1.02431,0.61211,1.03621,0.00332935,0.00332935,0.00332935
2,682.095,1.34185,0.67474,1.0859,0.91322,0.82088,0.88254,0.61956,1.11776,0.71283,1.0922,0.00659672,0.00659672,0.00659672
3,1021.17,1.39861,0.72473,1.1069,0.80141,0.59563,0.69121,0.42877,1.27455,1.00889,1.18008,0.0097981,0.0097981,0.0097981
4,1360.73,1.39845,0.73189,1.1131,0.88889,0.81785,0.87831,0.61163,1.12056,0.70004,1.09616,0.009703,0.009703,0.009703
5,1698.46,1.32524,0.66238,1.08921,0.93014,0.87193,0.92414,0.64837,1.06482,0.60232,1.07806,0.009604,0.009604,0.009604
6,2037.35,1.28525,0.63382,1.07449,0.95941,0.86939,0.92892,0.66564,1.03486,0.57086,1.06062,0.009505,0.009505,0.009505
7,2375.38,1.24344,0.60788,1.06228,0.9528,0.87873,0.93643,0.68985,0.97873,0.52925,1.03724,0.009406,0.009406,0.009406
8,2716.38,1.22291,0.59244,1.05123,0.94498,0.89586,0.94362,0.70326,0.97158,0.5041,1.03202,0.009307,0.009307,0.009307
9,3055.58,1.20343,0.57851,1.04539,0.9568,0.89957,0.94712,0.70881,0.95808,0.49195,1.02728,0.009208,0.009208,0.009208
10,3395.62,1.18398,0.56609,1.03999,0.96196,0.90408,0.94947,0.72427,0.93616,0.47684,1.01523,0.009109,0.009109,0.009109
11,3735.55,1.17499,0.5575,1.03635,0.95793,0.91121,0.95185,0.72882,0.92361,0.45967,1.01193,0.00901,0.00901,0.00901
12,4075.2,1.15908,0.54917,1.03171,0.95694,0.91438,0.95518,0.7356,0.91385,0.45565,1.00699,0.008911,0.008911,0.008911
13,4414.11,1.14769,0.5412,1.02724,0.95714,0.91387,0.95474,0.74111,0.90467,0.4442,1.00086,0.008812,0.008812,0.008812
14,4753.56,1.14047,0.53505,1.02333,0.95506,0.91704,0.95402,0.74587,0.89381,0.43813,0.99671,0.008713,0.008713,0.008713
15,5092.35,1.12831,0.53054,1.01981,0.95014,0.92382,0.95483,0.7482,0.88598,0.43101,0.99305,0.008614,0.008614,0.008614
16,5431.91,1.12982,0.52739,1.01958,0.95802,0.91683,0.9575,0.75321,0.88153,0.42556,0.99073,0.008515,0.008515,0.008515
17,5772.04,1.12043,0.51986,1.01621,0.95962,0.9217,0.95706,0.75678,0.87588,0.42044,0.98916,0.008416,0.008416,0.008416
18,6111.3,1.11601,0.51722,1.01502,0.95824,0.91977,0.95843,0.75753,0.87255,0.41644,0.98946,0.008317,0.008317,0.008317
19,6452.15,1.10863,0.51379,1.01171,0.9558,0.92379,0.95855,0.75891,0.87022,0.41316,0.98833,0.008218,0.008218,0.008218
